sido,sigungu,age,2019,2020,2021,2022,2023,2024,2025
전남광주,목포시,70대이상,269,338,415,293,248,287,346
전남광주,목포시,기타,147,267,433,527,146,160,67
전남광주,여수시,합계,5549,7019,4291,2509,2603,2741,2494
전남광주,여수시,20대이하,292,418,252,138,131,163,111
전남광주,여수시,30대,1167,1165,726,390,518,549,499
전남광주,여수시,40대,1502,1603,894,547,562,607,519
전남광주,여수시,50대,1381,1569,1019,618,643,677,641
전남광주,여수시,60대,771,969,697,468,466,482,460
전남광주,여수시,70대이상,264,392,302,161,187,188,189
전남광주,여수시,기타,172,903,401,187,96,75,75
전남광주,순천시,합계,4670,8969,6023,3804,4381,4872,4451
전남광주,순천시,20대이하,202,391,340,210,221,243,229
전남광주,순천시,30대,1017,1662,979,685,1027,1165,1208
전남광주,순천시,40대,1311,2225,1249,880,1040,1184,1043
전남광주,순천시,50대,1127,1919,1437,871,1054,1174,920
전남광주,순천시,60대,530,1088,946,638,695,760,701
전남광주,순천시,70대이상,205,380,402,220,271,260,254
전남광주,순천시,기타,278,1304,670,300,73,86,96
전남광주,나주시,합계,1626,1941,3249,1295,1436,1448,1845
전남광주,나주시,20대이하,77,101,172,78,57,66,79
전남광주,나주시,30대,327,358,694,227,333,337,377
전남광주,나주시,40대,359,418,826,258,331,341,377
전남광주,나주시,50대,409,490,705,302,300,322,434
전남광주,나주시,60대,272,356,547,261,288,261,355
전남광주,나주시,70대이상,117,140,216,114,100,95,131
전남광주,나주시,기타,65,78,89,55,27,26,92
전남광주,광양시,합계,4829,5421,3902,2682,3007,2865,2862
전남광주,광양시,20대이하,256,305,215,146,145,141,121
전남광주,광양시,30대,911,1033,570,401,565,495,498
전남광주,광양시,40대,1207,1499,926,735,742,688,519
전남광주,광양시,50대,1057,1246,836,659,788,763,672
전남광주,광양시,60대,480,693,486,443,533,529,462
전남광주,광양시,70대이상,147,210,175,142,124,159,161
전남광주,광양시,기타,771,435,694,156,110,90,429
전남광주,동구,합계,2106,2487,1807,1576,1584,1538,1551
전남광주,동구,20대이하,98,110,109,108,124,76,46
전남광주,동구,30대,307,432,387,253,369,442,481
전남광주,동구,40대,439,533,361,250,292,317,312
전남광주,동구,50대,401,533,325,253,328,284,287
전남광주,동구,60대,340,349,287,173,183,196,203
전남광주,동구,70대이상,217,239,184,153,116,126,136
전남광주,동구,기타,304,291,154,386,172,97,86
전남광주,서구,합계,5486,7932,6345,2981,3291,3375,3511
전남광주,서구,20대이하,260,385,389,212,153,162,154
전남광주,서구,30대,1075,1586,1355,658,793,834,897
전남광주,서구,40대,1511,2266,1559,670,842,886,864
전남광주,서구,50대,1117,1606,1165,642,772,723,809
전남광주,서구,60대,713,1036,796,375,428,472,485
전남광주,서구,70대이상,323,515,440,212,224,229,257
전남광주,서구,기타,487,538,641,212,79,69,45
전남광주,남구,합계,3884,6152,4596,2675,1981,2372,2679
전남광주,남구,20대이하,141,260,253,126,90,89,84
전남광주,남구,30대,630,1241,966,487,467,531,608
전남광주,남구,40대,993,1755,1250,698,588,666,780
전남광주,남구,50대,790,1145,765,514,385,443,541
전남광주,남구,60대,498,753,589,330,262,332,385
전남광주,남구,70대이상,235,411,330,232,120,180,205
전남광주,남구,기타,597,587,443,288,69,131,76
전남광주,북구,합계,8302,11284,10839,5676,5073,5805,5794
전남광주,북구,20대이하,480,514,610,388,291,267,258
전남광주,북구,30대,1763,2274,2191,1080,1202,1426,1445
전남광주,북구,40대,2105,2834,2348,1200,1209,1385,1353
전남광주,북구,50대,1903,2434,2030,1189,1134,1315,1369
전남광주,북구,60대,1084,1510,1371,759,746,892,894
전남광주,북구,70대이상,478,676,664,357,308,352,373
전남광주,북구,기타,489,1042,1625,703,183,168,102
전남광주,광산구,합계,7671,11074,9001,4745,5467,5407,5365
전남광주,광산구,20대이하,389,499,549,307,290,302,248
전남광주,광산구,30대,1707,2525,2110,1129,1344,1460,1430
전남광주,광산구,40대,2153,3535,2477,1319,1563,1459,1372
전남광주,광산구,50대,1634,2355,1710,971,1229,1215,1158
전남광주,광산구,60대,791,1203,992,497,666,650,662
전남광주,광산구,70대이상,315,526,409,226,237,209,218
전남광주,광산구,기타,682,431,754,296,138,112,277
전남광주,담양군,합계,415,524,507,392,288,394,268
전남광주,담양군,20대이하,13,13,17,16,10,15,13
전남광주,담양군,30대,37,66,55,30,36,66,30
전남광주,담양군,40대,98,103,102,73,40,61,44
전남광주,담양군,50대,140,156,166,132,101,105,77
전남광주,담양군,60대,77,102,99,97,70,102,70
전남광주,담양군,70대이상,29,35,47,25,19,31,20
전남광주,담양군,기타,21,49,21,19,12,14,14
전남광주,곡성군,합계,386,394,328,247,178,194,193
전남광주,곡성군,20대이하,11,13,12,13,10,3,6
전남광주,곡성군,30대,38,52,23,22,17,32,19
전남광주,곡성군,40대,39,84,58,43,17,22,28
전남광주,곡성군,50대,87,96,84,73,61,41,46
전남광주,곡성군,60대,91,70,72,69,43,60,67
전남광주,곡성군,70대이상,26,63,56,19,26,23,26
전남광주,곡성군,기타,94,16,23,8,4,13,1
전남광주,구례군,합계,261,310,310,285,189,220,167
전남광주,구례군,20대이하,5,9,9,10,2,4,3
전남광주,구례군,30대,37,35,38,23,15,13,7
전남광주,구례군,40대,52,59,59,59,28,29,29
전남광주,구례군,50대,82,102,96,79,57,59,48
전남광주,구례군,60대,53,70,64,69,60,82,60
전남광주,구례군,70대이상,26,23,35,32,21,29,15
전남광주,구례군,기타,6,12,9,13,6,4,5
전남광주,고흥군,합계,732,836,879,913,693,675,686
전남광주,고흥군,20대이하,26,34,26,25,13,21,13
전남광주,고흥군,30대,87,83,98,79,59,63,66
전남광주,고흥군,40대,157,172,150,166,96,121,116
전남광주,고흥군,50대,200,233,252,270,184,190,198
전남광주,고흥군,60대,151,206,233,245,234,199,192
전남광주,고흥군,70대이상,81,89,107,99,91,64,83
전남광주,고흥군,기타,30,19,13,29,16,17,18
전남광주,보성군,합계,406,486,564,373,355,314,261
전남광주,보성군,20대이하,15,18,17,15,8,10,6
전남광주,보성군,30대,48,72,56,28,36,32,22
전남광주,보성군,40대,86,110,129,64,49,45,37
전남광주,보성군,50대,111,115,161,103,121,95,64
전남광주,보성군,60대,88,104,107,91,89,77,85
전남광주,보성군,70대이상,41,42,58,40,30,35,29
전남광주,보성군,기타,17,25,36,32,22,20,18
전남광주,화순군,합계,708,1084,958,738,595,855,596
전남광주,화순군,20대이하,18,42,43,39,20,25,14
전남광주,화순군,30대,107,94,94,97,67,86,61
전남광주,화순군,40대,123,234,200,134,99,176,108
전남광주,화순군,50대,228,341,280,195,202,246,162
전남광주,화순군,60대,156,197,221,175,130,245,172
전남광주,화순군,70대이상,55,125,75,79,56,68,63
전남광주,화순군,기타,21,51,45,19,21,9,16
전남광주,장흥군,합계,430,540,513,419,321,309,383
전남광주,장흥군,20대이하,26,19,21,13,13,5,6
전남광주,장흥군,30대,55,83,64,35,30,23,31
전남광주,장흥군,40대,79,104,79,82,52,55,64
전남광주,장흥군,50대,132,142,138,113,106,90,103
전남광주,장흥군,60대,88,88,108,114,81,95,107
전남광주,장흥군,70대이상,35,68,62,46,36,30,62
전남광주,장흥군,기타,15,36,41,16,3,11,10
전남광주,강진군,합계,384,494,479,368,526,345,506
전남광주,강진군,20대이하,11,18,16,17,9,10,20
전남광주,강진군,30대,61,64,52,49,47,37,36
전남광주,강진군,40대,70,95,89,61,63,71,44
전남광주,강진군,50대,95,139,135,117,86,89,74
전남광주,강진군,60대,102,113,108,70,79,74,79
전남광주,강진군,70대이상,34,51,60,41,35,37,25
전남광주,강진군,기타,11,14,19,13,207,27,228
전남광주,해남군,합계,610,754,819,693,631,639,588
전남광주,해남군,20대이하,17,33,40,26,32,23,14
전남광주,해남군,30대,72,97,94,89,96,88,73
전남광주,해남군,40대,143,188,175,159,97,144,103
전남광주,해남군,50대,176,187,252,197,179,138,160
전남광주,해남군,60대,142,153,149,149,142,158,143
전남광주,해남군,70대이상,47,72,80,57,71,72,76
전남광주,해남군,기타,13,24,29,16,14,16,19
전남광주,영암군,합계,748,1557,1047,697,935,773,738
전남광주,영암군,20대이하,29,75,42,24,25,22,21
전남광주,영암군,30대,97,131,92,64,72,93,70
전남광주,영암군,40대,154,358,208,147,183,172,125
전남광주,영암군,50대,238,433,310,216,255,222,213
전남광주,영암군,60대,121,295,214,161,186,171,211
전남광주,영암군,70대이상,52,95,83,68,51,59,76
전남광주,영암군,기타,57,170,98,17,163,34,22
전남광주,무안군,합계,791,1822,1904,1042,986,1246,1397
전남광주,무안군,20대이하,26,46,88,83,46,61,55
전남광주,무안군,30대,176,301,389,213,238,297,360
전남광주,무안군,40대,258,634,553,258,288,379,406
전남광주,무안군,50대,167,461,366,207,208,242,292
전남광주,무안군,60대,100,220,262,174,141,189,199
전남광주,무안군,70대이상,41,101,117,64,53,62,78
전남광주,무안군,기타,23,59,129,43,12,16,7
전남광주,함평군,합계,193,233,235,240,173,242,185
전남광주,함평군,20대이하,10,9,11,7,7,2,3
전남광주,함평군,30대,28,22,21,18,12,11,18
전남광주,함평군,40대,38,40,36,47,16,31,23
전남광주,함평군,50대,55,67,72,79,58,71,57
전남광주,함평군,60대,37,63,57,63,44,63,46
전남광주,함평군,70대이상,16,23,34,18,19,25,25
전남광주,함평군,기타,9,9,4,8,17,39,13
전남광주,영광군,합계,555,626,612,508,361,427,459
전남광주,영광군,20대이하,27,33,25,18,10,17,19
전남광주,영광군,30대,86,71,67,55,53,38,46
전남광주,영광군,40대,136,118,128,113,66,96,84
전남광주,영광군,50대,140,169,144,150,100,110,107
전남광주,영광군,60대,92,120,122,118,77,110,143
전남광주,영광군,70대이상,42,75,74,47,42,46,35
전남광주,영광군,기타,32,40,52,7,13,10,25
전남광주,장성군,합계,382,519,554,370,281,313,339
전남광주,장성군,20대이하,20,17,25,12,9,8,7
전남광주,장성군,30대,40,49,43,30,28,29,25
전남광주,장성군,40대,93,112,127,71,50,61,71
전남광주,장성군,50대,124,144,162,116,95,106,104
전남광주,장성군,60대,58,113,98,93,72,77,96
전남광주,장성군,70대이상,29,50,63,34,19,27,28
전남광주,장성군,기타,18,34,36,14,8,5,8
전남광주,완도군,합계,396,480,441,392,291,338,337
전남광주,완도군,20대이하,25,25,20,16,22,9,19
전남광주,완도군,30대,60,91,57,48,40,46,46
전남광주,완도군,40대,104,121,105,90,63,58,69
전남광주,완도군,50대,100,119,110,109,63,96,87
전남광주,완도군,60대,68,75,88,84,64,94,79
전남광주,완도군,70대이상,26,33,43,32,27,30,29
전남광주,완도군,기타,13,16,18,13,12,5,8
전남광주,진도군,합계,212,290,267,196,230,249,296
전남광주,진도군,20대이하,9,16,15,7,17,10,13
전남광주,진도군,30대,21,37,30,21,12,35,38
전남광주,진도군,40대,47,59,59,35,48,51,61
전남광주,진도군,50대,45,74,56,53,64,58,83
전남광주,진도군,60대,55,63,70,47,66,66,65
전남광주,진도군,70대이상,28,15,26,23,14,26,33
전남광주,진도군,기타,7,26,11,10,9,3,3
전남광주,신안군,합계,208,231,245,201,211,217,172
전남광주,신안군,20대이하,5,11,4,6,7,2,6
전남광주,신안군,30대,46,16,18,13,9,10,18
전남광주,신안군,40대,30,46,33,34,19,35,30
전남광주,신안군,50대,57,69,61,46,60,67,42
전남광주,신안군,60대,48,46,86,66,59,49,50
전남광주,신안군,70대이상,14,26,31,29,27,25,26
전남광주,신안군,기타,8,17,12,7,30,29,0
부산,,합계,53890,109139,69646,31214,34027,36612,42984
부산,,20대이하,2092,4602,3913,1900,1395,1202,1333
부산,,30대,9739,20945,13686,5571,8172,8740,10921
부산,,40대,12983,27884,14721,5969,8336,8932,10667
부산,,50대,11439,22847,12569,6028,7037,7479,9056
부산,,60대,7874,16616,10465,4746,5246,6067,6492
부산,,70대이상,3469,7820,5445,2406,2223,2638,3340
부산,,기타,6294,8425,8847,4594,1618,1554,1175
부산,중구,합계,539,761,1304,558,316,277,266
부산,중구,20대이하,18,29,94,31,17,7,9
부산,중구,30대,62,88,175,60,36,49,32
부산,중구,40대,100,167,252,127,64,64,46
부산,중구,50대,133,178,196,104,62,60,68
부산,중구,60대,138,183,173,80,82,62,59
부산,중구,70대이상,49,63,103,53,39,30,44
부산,중구,기타,39,53,311,103,16,5,8
부산,서구,합계,1487,2348,2030,1047,995,1168,1073
부산,서구,20대이하,77,77,104,49,84,36,19
부산,서구,30대,235,434,320,136,160,229,227
부산,서구,40대,286,496,374,153,195,295,218
부산,서구,50대,374,501,367,207,227,244,230
부산,서구,60대,245,415,374,197,201,205,207
부산,서구,70대이상,149,209,200,108,101,117,142
부산,서구,기타,121,216,291,197,27,42,30
부산,동구,합계,1061,2264,1586,903,783,759,944
부산,동구,20대이하,41,149,114,78,40,22,36
부산,동구,30대,136,388,262,136,161,166,255
부산,동구,40대,224,556,288,163,209,143,174
부산,동구,50대,247,485,338,188,151,199,210
부산,동구,60대,199,363,310,154,134,132,163
부산,동구,70대이상,106,214,162,90,72,81,94
부산,동구,기타,108,109,112,94,16,16,12
부산,영도구,합계,1609,3088,2992,1548,921,955,1091
부산,영도구,20대이하,65,157,151,153,37,38,33
부산,영도구,30대,201,461,462,237,143,123,118
부산,영도구,40대,339,750,662,286,214,189,190
부산,영도구,50대,472,721,577,341,221,228,318
부산,영도구,60대,293,534,530,278,213,224,222
부산,영도구,70대이상,100,260,290,111,66,102,101
부산,영도구,기타,139,205,320,142,27,51,109
부산,부산진구,합계,5999,13071,6375,3359,4054,4775,5131
부산,부산진구,20대이하,249,623,361,175,158,146,171
부산,부산진구,30대,1001,2331,1300,599,940,1069,1389
부산,부산진구,40대,1358,2993,1226,575,842,1022,1172
부산,부산진구,50대,1269,2904,1133,645,833,919,1087
부산,부산진구,60대,1002,1946,991,478,640,941,841
부산,부산진구,70대이상,409,929,558,258,347,321,362
부산,부산진구,기타,711,1345,806,629,294,357,109
부산,동래구,합계,4298,9611,4919,2214,2596,3158,4264
부산,동래구,20대이하,146,383,221,98,90,80,124
부산,동래구,30대,794,1974,974,427,764,943,1223
